Head,Message,Type
video of Conress leaders,This is the video of Conress leaders Rahul and Priyanka Gandhi breaking coronavirus lockdown by stepping out.,Fake
lockdown strategy,The World Health Organization has prescribed a lockdown strategy to tackle COVID-19 which India is following.,Fake
Food distribution,Amid COVID19 Lockdown Food being distributed in Indian State of Tamil Nadu.,Fake
Trackig calls,A Whatsapp forward claiming all calls will be recorded by the Indian government..,Fake
Sucide,Video of a man who committed suicide in US due to COVID-19,Fake
Video of Hajj pilgrims,A video that shows the dead bodies being taken away in a convoy of cars is from a hospital in Iran due to novel coronavirus.,Fake
lockdown strategy,WORLD HEALTH ORGANISATION PROTOCOL &PROCEDURE OF LOCKDOWN PERIODS FOR CONTROLLING ON MOST DANGEROUS VIRUS: STEP 1 – 1 DAY. STEP 2- 21 DAYS. AFTER 5 DAYS. STEP 3- 28 DAYS. AFTER 5 DAYS. STEP 4 – 15 DAYS.,Fake
Go Corona Back,Image showing Indian Political party (DMK) workers demonstrating with Go Corona Back balloon.,Fake
Contracting disease from patient,"A photo of a man and woman embracing has been shared hundreds of times on Facebook and Twitter alongside a claim that it shows two Italian doctors who died of a novel coronavirus, COVID-19, after contracting the disease from the patients they treated.",Fake
Eating Cabbage,World Health Organization (WHO) has warned against eating cabbage during the novel coronavirus pandemic.,Fake
Trupti Desai,Social activist Trupati Desai was caught illegally buying liquor during the lockdown and was detained by the police.,Fake
Brazil graveyard,"Picture of Sao Paulo graveyard, being prepared secretly for Covid 19 victims by Brazil government.",Fake
P M Modi ,"18 nations, including the US and the UK, want Indian Prime Minister Narendra Modi to be the leader of the task force to combat the coronavirus pandemic.",Fake
Video from El Salvador,Video of kids from Italy yelling at stars assuming them to be their dead mother.,Fake
Use of Turmeric,A new born baby suffering from birth defects predicted that using Turmeric can cure Coronavirus in India.,Fake
P M Modi ,Recent photo of PM Modi visiting a Church and offering prayers to save the country from the Coronavirus outbreak.,Fake
P M Modi ,PM Modi on 2nd April ’20 announced extension of nationwide lockdown till 4 May 2020.,Fake
COVID 19 vaccine,Photo of a vaccine developed by US scientists for COVID-19.,Fake
P M Bolsonaro,Italian Prime Minister Giuseppe Conte broke down amid Covid19 deaths in his country.,Fake
Eating Cabbage,"WHO reported that Coronavirus lasts upto 8 hours on cabbages thus, cabbage consumption should be restricted.",Fake
Rubing Mustard oil,Rubbing mustard oil on your nostrils can prevent Coronavirus.,Fake
 Internet suspension,PM Modi announced internet suspension due to viral fake news related to COVID-19.,Fake
Shoot at site Order,Indian state of Madhya Pradesh’s Goverement have issued order of shoot at sight due to failure at lockdown implementation.,Fake
"1,000-bed hospital in Rajasthan","Indian Army has built a 1,000-bed hospital in Rajasthan in eight days for the treatment of COVID-19.",Fake
Old video,The video shows Muslims licking plates and spoons to spread the coronavirus.,Fake
Sucide,A video of a man committing suicide by jumping from a hotel in Italy as his entire family died due to coronavirus.,Fake
Old video in Gujrat,Video of Muslims gathered on roads despite the curfew to curb the spread of Coronavirus.,Fake
Bollywood Actor Shahrukh Khan,India TV telecasted news that Bollywood Actor Shahrukh Khan donated 450 million (45 Crore) Rupees to Pakistan Oil tanker blast victims.,Fake
Throwing money on streets,People of Italy throwing money on the streets as they felt that the money couldn’t save them from COVID-19.,Fake
Kanika Kapoor,Photo of Kanika Kapoor meeting Prince Charles during her recent visit to United Kingdom. Prince Charles was tested positive for coronavirus just after the meet.,Fake
COVID 19 stage 3,"A 9 minute viral video in a woman claims India has entered stage-3 of COVID-19. She claims that her husband is employed with a major news channel and the information was passed to him by some Dr.Gyani who heads the Indian Covid team and asks people to stock up on food, medicines and baby food for one month. She also cautions people about the Army being deployed to enforce a strict lockdown in the upcoming days.",Fake
Death of doctor in Delhi,"An image of a doctor goes viral with the claim that Dr. Usman Riyaz died while treating coronavirus patients in Delhi, India.",Fake
Release of lions,Russia released 500 lions to ensure people would stay inside houses.,Fake
Cuban doctors,"Cuba sent 200,000 doctors across the world to help nations fighting against COVID-19 Pandemic.",Fake
Available of groceries,"In India from 24th March 2020 during lockdown all grocery, milk, chemist, vegetable shops will be open from 9.00 am to 11.30 am in the morning and 4.30 pm to 7.00 pm in the evening. Anybody found moving around after this or opening any kind of outlet will be strictly detained by the police. It also claims that no home deliveries will be available.",Fake
Holding your breath for 10 seconds,"If you can hold your breath for more than 10 seconds, you are not infected by coronavirus.",Fake
COVID 19 cure,"No deaths have been reported in Israel due to COVID-19 because they have found a cure for the disease. A solution of hot water, baking soda and lemon is the cure for COVID-19.",Fake
Extension of financial year,India has decided to extend its financial year to July 1 due to the current COVID-19 outbreak.,Fake
India Army called,The Indian Army has been called to control seven areas in Mumbai that are nor following the 21 day lockdown and are out of the Mumbai police’s control.,Fake
Coronavirus a Bioweapon,Marathi newspaper reports conspiracy theory of Coronavirus being a bioweapon.,Fake
Reopening bars,Tamil Nadu Govt ordered to re-open TASMAC bars.,Fake
Extension of lockdown,Bombay High Court is extending Maharashtra’s lockdown to April 31.,Fake
Burning of hands due to use of sanitiser,Woman burned her hands while putting on the stove due to high alcohol content in hand sanitiser.,Fake
Coronavirus cure,Scientists have found that drinking bitter gourd juice can cure Coronavirus.,Fake
Coronavirus found in meat,Coronavirus was found in meat (mutton).,Fake
Consumption of meat,WHO and FSSAI have also mentioned that properly cooked meat can be consumed.,Genuine
Free Masks,Indian PM Modi is providing free masks to people under ‘Swachh Bharat Mission’ to keep them protected from Coronavirus outbreak.,Fake
Fuel prices,"Recently, Petrol companies have reduced Rs. 6.40 on petrol and on Diesel Rs. 6.80.",Fake
Fuel prices,Petrol and diesel prices have come down by about Rs.2 in the last three weeks.,Genuine
lockdown strategy,The much shared lockdown strategy is from a Cambridge study that forecasts the best possible ways to tackle the coronavirus epidemic and is not shared by the World Health Organization.,Genuine
Spreading COVID by licking plates,Muslim youth is spreading COVID-19 by licking plates in Nizzamuddin Markaz in India.,Fake
Licking dishes,The video belongs to Dawoodi Bohra society. In their tradition dishes are washed only after eating and licking the utensils. This is done so that no food grains are wasted.,Genuine
Lockdown extension,PM Modi has not made any announcement for extension of nationwide lockdown till 4 May 2020. The image is digitally edited.,Genuine
Image of herd of deer,Image of herd of deer sitting on a street interpreted as different locations in Sri Lanka and India.,Fake
Muslims gather on roads,"The video is from Ahmedabad (Gujarat) and was taken in December 2019. So, the video is of an incident that took place prior to the announcement of lockdown in Gujarat.",Genuine
Shoot at site Order,"No shoot at sight order was issued by Madhya Pradesh Govt., the State goverement have issued a clarification regarding this.",Genuine
"1,000 bed hospital in rajasthan","The Indian Army has mentioned that the news that it is building a thousand-bed hospital for the treatment of COVID-19 in Barmer (Rajasthan) is false. Also, the photos in the post are old.",Genuine
Smart cities monitoring COVID 19,"States with highest reported Covid-19 positive cases, say, Maharashtra, Tamil Nadu, Delhi, Kerala, Uttar Pradesh, Madhya Pradesh among others are using the command centres for CCTV Surveillance of public places, geographic information system (GIS) mapping of coronavirus positive cases, GPS tracking of healthcare workers.",Genuine
Smart cities monitoring COVID 19,"In centres like Kanpur Smart City, Aligarh, Varanasi etc itracking of health services from the ICCC is being done. Telemedicine is offered through video conferencing facilities launched by the city administrations. In Aligarh, Doctors are deployed at Aligarh Smart City Integrated Command and Control Center (ICCC) during 11- 8 pm to enable telemedicine and video conferencing facility through a dedicated Whatsapp number",Genuine
Smart cities monitoring COVID 19,"In Ujjain smart city centre, two doctors are stationed at the centre for 24 hours duration to take video conferencing/ telephone calls from the citizens and give appropriate advice based on the symptoms.",Genuine
Smart cities monitoring COVID 19,"In Gujarat’s Gandhinagar smart city contact details of grocery stores for all sectors are also provided. The Surat Municipal Corporation has published an online dashboard for providing the overall statistics on tested, confirmed, active, recovered and death cases, the dashboard provides the trends and patterns on the spread of COVID-19 within city, in terms of cumulative cases (each day), number of new confirmed cases reported, age-wise distribution of cases, zone-wise distribution and gender-wise distribution. Spatial mapping of affected areas is also being provided.",Genuine
Tablighi Jamaat,"Punjab government on Tuesday served an ultimatum to all members of the Tablighi Jamaat in the state who may have attended the Nizamudding religious event in Delhi to report to the nearest police station in the state within 24-hours or be ready to face criminal prosecution, said news agency ANI.",Genuine
Tablighi Jamaat,"According to the Central government statement on Monday, at least 1,445 cases out of over 4000 positive Covid-19 infections across the country, were linked to the Tablighi Jamaat congregation in Delhi. Over 9,000 people had attended the religious gathering in Delhi’s Nizamuddin in March, the government had said.",Genuine
Tablighi Jamaat,"According to the Central government statement on Monday, at least 1,445 cases out of over 4000 positive Covid-19 infections across the country, were linked to the Tablighi Jamaat congregation in Delhi. Over 9,000 people had attended the religious gathering in Delhi’s Nizamuddin in March, the government had said.",Genuine
Extension of lockdown,"The Centre is leaning towards extending the ongoing three-week lockdown announced to contain the coronavirus disease (Covid-19) at least till the end of this month, a senior government official said on Tuesday, while also pointing out that several states have suggested backing such a move.",Genuine
COVID 19 testing ratio,"A new analysis by Indian epidemiologists has revealed that the country has one of the lowest Covid-19 testing ratios compared to other affected countries and that its infection containment measures may not be adequate because of this. India has conducted only 47 tests per million population as of April 5, compared to 2,753 in the UK, 4,572 in the US, 8,800 in South Korea and 22,918 tests per million population in the UAE.",Genuine
COVID 19 testing ,"It is more than two months since the first observed COVID19 case was diagnosed in India. We still have minimal data to understand the epidemiological trajectory of COVID 19 in India. The biggest limitation for our analysis is that state-wise testing, detection, and case-specific details are not made available in the public domain.",Genuine
Recovery from the coronavirus disease,"A ten-month-old infant, the youngest in Tamil Nadu to test positive for Covid-19 was discharged from a Coimbatore hospital on Monday, has recovered after a 14-day treatment. The child acquired the infection from his 29-year-old mother who works as a doctor for the Southern Railways.",Genuine
Hydroxycholoroquine,"Hydroxycholoroquine which is commonly used to treat malaria, arthritis and lupus, among other ailments, has been in the eye of a storm after United States president Donald Trump on Monday warned of retaliation if India did not supply the drug as asked. India, the largest manufacturer and exporter of the drug, initially banned exports on March 25 to ensure adequate domestic supplies. On Tuesday, the Centre decided to allow exports, depending on availability, after stockpiling enough for domestic use.",Genuine
Tea vendor near CM's residence,Tea vendor near Maharashtra CM's private residence tests positive to coronavirus: BMC,Genuine
Wockhardt Hospital In Mumbai Sealed,BMC Health Officials said that three doctors and 26 nurses tested positive for the novel Coronavirus at the Wockhardt Hospital in Mumbai Central. The facility has been sealed to prevent the spread of further infection.,Genuine
"PepsiCo Commits 25,000 Covid-19 Testing Kits To India","PepsiCo India along with its parent company's philanthropic arm PepsiCo Foundation will provide 25,000 Covid-19 testing kits and over 5 million meals to support families impacted by Covid-19",Genuine
,"India has been proactive in stemming spread of coronavirus, says PM Modi",Genuine
,Donald Trump ‘hopeful and sure’ British PM will recover from coronavirus,Genuine
,"Covid-19: British PM Boris Johnson is in hospital, but ‘still in charge’",Genuine
,"India-US partnership to fight Covid-19, says PM Modi after call with Trump",Genuine
,"8 new Covid-19 cases in Noida, total count in Gautam Buddh Nagar 58",Genuine
,"News updates from Hindustan Times at 9 PM: India-US partnership to fight Covid-19, says PM Modi after call with Trump and all the latest news",Genuine
,"Coronavirus: Cloth, scissors, sewing machine - Govt’s DIY guide on making masks at home",Genuine
,"2,800 Rasin villagers living in fear after Karnal man succumbs to Covid-19",Genuine
,Noida gets together for PM’s 9-minute request,Genuine
,"In Pakistan’s Covid-19 response, signs of unpreparedness",Genuine
,Covid-19: Govt says maximum cases in the age group between 21 and 40 years,Genuine
,"Covid-19 update: ‘Report yourselves or face legal action’, Assam tells Tablighi Jamaat attendees",Genuine
,"Odisha govt makes wearing masks in public mandatory, issues guidelines",Genuine
,"COVID-19: Parents want fee waiver during lockdown, schools cite concerns over payment of salaries",Genuine
,"Covid-19 cases doubling in 4.1 days, Jamaat incident worsened coronavirus spread: Govt",Genuine
,"Coronavirus outbreak: Arvind Kejriwal responds to Gautam Gambhir’s ‘big egos’ barb, explains the problem",Genuine
,"‘Light your candles tonight’: Rajnath Singh, Nitin Gadkari resound PM Modi’s call",Genuine
,"Coronavirus update: A long war ahead but we’ll win it, says PM Modi",Genuine
,"Amid lockdown, caretakers at Snehalaya, Chandigarh, become fathers and mothers for destitute children",Genuine
,"Covid-19 update: In Canada, normal life can stay disrupted for ‘several months’, says Justin Trudeau",Genuine
,Bahrain king assures PM Modi of welfare of Indian community during Covid-19 crisis,Genuine
,"Govt says PM’s call to switch off lights only for residences, won’t affect the grid",Genuine
,Coronavirus: 7 easy steps to make protective face masks at home to fight Covid-19,Genuine
,"Covid-19 statewise tally: Tamil Nadu, Delhi outnumber coronavirus cases in Kerala",Genuine
,"14-day isolation must for people out of quarantine, says new government rules",Genuine
,"Wuhan, once epicentre of Covid-19, gets ready for life after lockdown",Genuine
,Air quality in Gurugram reduces for the first time in 10 days due to firecrackers,Genuine
,"After 24 workers get Covid-19 in Delhi, focus on PPE availability",Genuine
,China reports no new coronavirus-related deaths for first time since January,Genuine
,"What to switch off, what stays on: All you need to know about PM Modi’s ‘lights off’ call",Genuine
,Coronavirus: What is a Covid-19 containment zone and why is it created?,Genuine
,"China helps India with PPE to fight Covid-19 as cases near 4,500: 10 points",Genuine
,"Son of Tablighi Jamaat attendee tests positive of Covid-19 in Mohali, taking count of positive cases to 16",Genuine
,"Little possibility of lifting lockdown, says top Uttar Pradesh bureaucrat",Genuine
,800 Yerawada jail inmates approach Bombay HC with release request; threaten to go on strike if not heard,Genuine
,Mumbai’s coronavirus map shows Covid-19 containment zones in city,Genuine
,Gautam Budh Nagar asks schools not to ask for fees during lockdown,Genuine
,Coronavirus update: 3 lakh Indians stranded in Canada amid Covid-19 travel restrictions,Genuine
,New York governor extends shutdown to April 29,Genuine
,"Covid-19: Draw lessons for the future, writes M Venkaiah Naidu",Genuine
,"Covid-19 update: India records 4,421 coronavirus cases, death toll touches 114",Genuine
,"Kanika Kapoor tests negative for Covid-19, will be kept under observation until she tests negative again",Genuine
,Services exempted by Centre from lockdown allowed to continue in Rajasthan: Govt official,Genuine
,3 Gurdaspur villages declared quarantine zones,Genuine
,"‘We’re proud of you’, Pak ATC tells Air India",Genuine
,"50 mn jobs in tourism sector at stake, need relief packages to combat Covid-19: Industry bodies to govt",Genuine
,India between Stage 2 and 3 of Covid-19 pandemic: Health Ministry,Genuine
,‘People may die if lockdown is lifted’: KCR asks PM to extend lockdown,Genuine
,‘Will conduct one lakh random Covid-19 tests in Delhi’s hotspots’: Kejriwal,Genuine
,"SRK, Bengal actors contribute to Mamata Banerjee’s kitty to fight Covid-19 as state goes for austerity",Genuine
,Spain’s daily coronavirus death toll falls for second day in row,Genuine
,"Coronavirus update: BMC allocates Covid-19 hospitals for elderly, vulnerable",Genuine
,"Covid-19: 11 more test positive in Bengal, number of infections go up to 68",Genuine
,Jadavpur University working on three-layer fabric masks using low-cost materials,Genuine
,Delhi Police send second notice to Tablighi Jamaat over Markaz event,Genuine
,"In a few weeks, Pune railway division to get 25 isolation coaches",Genuine
,Let’s make India Covid-19-free: PM Modi on BJP’s 40th foundation day,Genuine
,"Millions join PM Modi’s ‘9pm-9min’ call, light lamps to show solidarity in fight against Covid-19",Genuine
,Insure staff deployed to fight pandemic: Punjab to Centre,Genuine
,Child aged five among new UK coronavirus victims,Genuine
,"US, UK to begin evacuating stranded nationals from India",Genuine
,US President Donald Trump warns of ‘toughest week’ with a ‘lot of death’,Genuine
,Coronavirus update: PM Modi’s call for switching off lights for 9 minutes at 9pm today,Genuine
,"We are tougher, tweets Trump as US battles coronavirus outbreak",Genuine
,Covid-19: Economic opportunities and challenges | Opinion,Genuine
,Two-and-a-half year-old son of Lucknow  first Covid-19 patient tests positive,Genuine
,Liquor shop looted in Delhi amid lockdown,Genuine
,"News updates from Hindustan Times at 5 PM: Assam may start permit system for entry after Covid-19 lockdown ends, says minister and all the latest news",Genuine
,Unlocking India and antibody test plans: Covid-19 news from the country,Genuine
,"Covid-19: India eases hydroxychloroquine, paracetamol export restrictions",Genuine
,Dombivli broker held for circulating fake video on coronavirus,Genuine
,"Covid-19’s impact may last up to two years, say health officials in Canada",Genuine
,"Lockdown violations continue: 22, 212 FIRs filed across Maharashtra",Genuine
,Railways in mission mode to prepare Covid-19 isolation coaches,Genuine
,"Over 30% of India’s total Covid-19 infections could have Markaz link, cases cross 3,500: Key developments",Genuine
,"President, MPs, ministers take a pay cut for 1 year, say it is a message",Genuine
,Covid-19: Govt keeps tabs on pharma sector to ensure smooth supplies,Genuine
,Man with travel history is Goa’s 7th Covid-19 patient,Genuine
,"‘Speculation’, says aviation minister on report of resumption of flights after lockdown",Genuine
,China reports no new coronavirus-related deaths for first time since January,Genuine
,P Chidambaram donates Rs 1 crore to govt hospital in Mumbai,Genuine
,"With bidi factories closed amid Covid-19 lockdown, 15 lakh labourers in Bengal district face crisis",Genuine
,"In Sonia Gandhi’s 5 tips to fight Covid-19, one is about PM CARES Fund",Genuine
,War against Covid-19: Uttar Pradesh to ramp up testing facilities,Genuine
,Covid-19 cases in Maharashtra inch towards 900 after 23 more test positive,Genuine
,PM Modi asks ministers to list priority areas once lockdown ends,Genuine
,"Within 24 hours, Pune city records three deaths; toll rises to five",Genuine
,China observes ‘national day of mourning’ for Covid-19 victims,Genuine
,"Holding diya in hand, PM’s mother responds to lights-out call",Genuine
,‘Not fair to single out Tablighi Jamaat for Covid-19 spread’: Jagan Reddy,Genuine
,Fourth case: Another woman from Hindpiri tested coronavirus positive,Genuine
,"Covid-19 state tally: Cases inch toward 900 in Maharashtra, Tripura reports first patient",Genuine
,23 new coronavirus cases reported in Pune,Genuine
,Covid-19 challenge seeks innovative solutions to mitigate pandemic impact,Genuine
,Give more financial aid to states to combat coronavirus outbreak: Cong to Centre,Genuine
,"Facility begins at Miraj to test cases in Sangli, Kolhapur and Sindhudurg",Genuine
,"New York cathedral turns into hospital amid Covid-19 crisis, cases soar in US: 10 points",Genuine
,2 more Covid-19 deaths in Andhra Pradesh; total cases reach 266,Genuine
,"Covid-19 statewise tally: Cases near 500 in Maharashtra and Tamil Nadu, Delhi at 445",Genuine
,"A long war against coronavirus, must not get tired or rest, says PM Modi",Genuine
,"PM Modi asks ministers, officials to prep for post-lockdown scenario",Genuine
,Nearly half a million companies in China shut shop as Covid-19 batters economy: Report,Genuine
,Covid-19 outbreak: Mukesh Ambani’s net worth drops 28% to USD 48 billion in 2 months,Genuine
,"CISF to provide enhanced protective gear to troops when airports, Delhi Metro resume ops: Report",Genuine
,"In Sonia Gandhi’s 5 tips to fight Covid-19, one is about PM CARES Fund",Genuine
,"Covid-19 update: British PM Boris Johnson is in ICU, but not on ventilator, says minister",Genuine
,Training of Gaganyaan astronauts in Russia put on hold amid lockdown: Report,Genuine
,"Covid-19 update: Requested PM Modi to release US order of hydroxychloroquine stockpile, says Trump",Genuine
,China honours coronavirus victims with 3 minutes of reflection,Genuine
,"Treat patients with symptoms, now | HT editorial",Genuine
,World Health Day 2020: ‘Support nurses and midwives’ as they fight Covid-19,Genuine
,"Delhi hospital staff come in contact with 2 Covid-19 patients,108 quarantined",Genuine
,News updates from Hindustan Times at 5 PM:8 Malaysians linked to Tablighi Jamaat deboarded from rescue flight and all the latest news,Genuine
,"GST officers process 10,077 new registrations, 7,876 refund applications in 10 days of Covid-19 lockdown",Genuine
,"Decision on reopening schools, colleges to be taken on April 14: HRD minister",Genuine
,Mumbai: Universities asked to prepare fresh exam schedule as plan B,Genuine
,Coronavirus: Twelve new Covid-19 cases take Karnataka’s tally to 163,Genuine
,Trump talks of ‘retaliation’ if India turns down anti-malarial drug request,Genuine
,"With 18 new positive cases, Haryana count rises to 62",Genuine
,"Covid-19: Rush for masks, toilet paper slows Japan’s household spending decline",Genuine
,"Coronavirus lockdown: Deve Gowda appeals to PM Modi to look into issues of farmers, labourers",Genuine
,"UN chief says ‘worst is yet to come’, US records highest 24-hour Covid-19 death toll: 10 points",Genuine
,"PM Modi, Netanyahu explore collaborative ways to fight Covid-19",Genuine
,India likely to release Covid-19 rapid testing guidelines today,Genuine
,"100-year-old man dies in quarantine in Jammu and Kashmir’s Udhampur, Covid-19 test report negative",Genuine
,"Japan may declare emergency, NZ to stick to Covid-19 curbs despite stability: 10 points",Genuine
,Reflections on surveillance in the middle of a pandemic | Opinion,Genuine
,India’s domestic air traffic to fall to 90 mn this fiscal: Report,Genuine
,Tiger at NYC’s Bronx Zoo tests positive for coronavirus,Genuine
,Drones help cops nab over 40 violating social distancing rule,Genuine
,Covid-19: Define social security for migrant workers | Opinion,Genuine
,"Will not lie, Covid-19 cases in state rising, says Uddhav. Then explains",Genuine
,"In 5-point letter, Sonia Gandhi asks PM Modi to go into austerity mode",Genuine
,Canada asks medical workers treating Covid-19 patients to reuse face masks,Genuine
,"Covid-19: Not just Pandemic and Contagion, here are other TV docu series that explain pathogens and viruses",Genuine
,"Press Council advises against publicity, advertisement of AYUSH’s claims on Covid-19",Genuine
,"Covid-19 lockdown: 800 cameras, 15 drones are Jaipur Police’s eyes in the sky",Genuine
,"As Covid-19 cases in Pakistan rise to 2,818, Imran Khan says ‘nobody is safe’",Genuine
,"As lockdown hits dining table, Goans seek approval for traditional fishing",Genuine
,Covid-19: India unable to take full advantage of drop in oil prices,Genuine
,Delhi’s Safdarjung Hospital seeks details of WhatsApp group admins to deal with fake news on Covid-19,Genuine
,"Petrol sales shrink 17.6%, diesel 26% in March as lockdown wipes demand",Genuine
,Coronavirus update- Assam MLA held for spreading false Covid-19 info: Police,Genuine
,"3 new coronavirus cases in Thane, number rises to 19",Genuine
,Coronavirus update: 61-year-old woman dies in Gujarat’s Surat; death toll at 11,Genuine
,"Pakistan records 2,700 coronavirus cases; Punjab crosses 1,000-mark",Genuine
,India’s efforts to fight Covid-19 appreciated globally: PM Modi,Genuine
,Economic decline due to Covid-19 will not help govt’s tackle climate change,Genuine
,Coronavirus: Taiwan’s Covid-19 strategy sets an example as total number of cases remain under 400,Genuine
,"In Maharashtra’s Covid-19 containment plan, Mumbai, Nagpur and Pune are key",Genuine
,"US to airlift 22,000 Americans stranded overseas; many in India",Genuine
,"Covid-19: One isolation bed for 5,246 Mumbai residents",Genuine
,"PM Modi reviews nationwide Covid-19 preparedness, directs authorities to ensure enough supplies",Genuine
,"1,023 Covid-19 cases across 17 states linked to Jamaat: Centre",Genuine
,Coronavirus update: 16 Tablighi Jamaat members in Chhattisgarh booked for hiding travel details,Genuine
,No post lockdown resumption of passenger services announced: Railways,Genuine
,Prepare plans to fight economic impact of Covid-19 on war footing: Modi to ministers,Genuine
,"Six held for assaulting Muslim family, threatening them to leave",Genuine
,"As Kashmir struggles with Covid-19, Pak preps to send across more terrorists",Genuine
,Coronavirus: Bengaluru top cop warns social media hate mongers,Genuine
,Coronavirus: PM Modi chairs meeting with Council of Ministers,Genuine
,"After masks and sanitiser, prisons dept sells kits made by inmates",Genuine
,PM Modi’s ‘9 PM- 9 Mins’ appeal: People buy diyas in Patna,Genuine
,"Amid Covid-19 crisis, 198 doctors face absenteeism heat in Bihar",Genuine
,"Coronavirus update: US beats its own grim record, Covid-19 death toll touches 1,480 in 24 hours",Genuine
,"Covid-19: Bengaluru civic body to screen women, kid at labour camps",Genuine
,No approval for Covid-19 testing kit that can be used at home,Genuine
,Citizens must exhibit responsible behaviour | Opinion,Genuine
,"7,026 new coronavirus cases in Spain, toll reaches 11,744",Genuine
,"Nod to Tablighi Jamaat gathering should have been denied, says Sharad Pawar",Genuine
,"Kejriwal hits out at Centre for PPE shortage, says haven’t received a “single rupee” from Rs 17,000 crore fund",Genuine
,"Covid-19: Govt discusses preparedness, challenges with industry representatives, global bodies",Genuine
,"Steep drop in pollution since janta curfew, lockdown",Genuine
,"Amid coronavirus pandemic, doctor BJP MPs are returning to hospitals",Genuine
,Dominic Raab: A combative lawyer who is now Boris Johnson’s stand-in as UK Premier,Genuine
,"Lockdown, social distancing only way: Dushyant Chautala on fighting Covid-19",Genuine
,Thane Municipal Corporation asks private hospitals to set up special OPD,Genuine
,How high-level group formed by govt has stepped up Covid-19 fight,Genuine
,Man arrested for spreading coronavirus rumours in Greater Noida,Genuine
,India gears up to switch off lights at 9 pm to ‘challenge Covid-19 darkness’,Genuine
,"Covid-19 state tally: Cases in Maharashtra near 800, no patients in 4 northeast states",Genuine
,UN chief urges govts to protect women during coronavirus lockdown,Genuine
,Coronavirus update: Karnataka CM tells employers not to cut salaries,Genuine
,"Tablighi Jamaat HQ is India’s biggest Covid-19 hotspot, linked to 1,000 cases in India",Genuine
,Canada govt mulls holding virtual parliament session during Covid-19 crisis,Genuine
,Trump urges PM Modi to lift export hold on anti-malaria drug for Covid-19 treatment,Genuine
,Mumbai cyber police issues advisory on cyber crimes amid coronavirus lockdown,Genuine
,"52 new Covid-19 patients found in Mumbai, count 330; 4 deaths",Genuine
,Crow deaths trigger panic in Kaimur,Genuine
,‘Take immediate action to alleviate concerns of nurses from Kerala’: Vijayan urges Kejriwal,Genuine
